id,invest_date,topix_price,topix_invest,developed_price,developed_invest,developing_price,developing_invest,all_price,all_invest
54,2021/11/1 0:00,14635,13218,25719,13998,13133,697,16567,23407
53,2021/10/27 0:00,14412,14661,25654,14262,13475,578,16569,23386
52,2021/10/25 0:00,14281,15581,25428,15217,13406,601,16428,24888
51,2021/10/20 0:00,14512,13995,25496,14923,13539,559,16499,24120
48,2021/10/18 0:00,14451,14398,25167,16401,13368,613,16295,26393
8,2021/10/13 0:00,14127,16737,24300,21032,12972,760,15753,33529
7,2021/10/11 0:00,14290,15516,24210,21582,12854,810,15698,34354
6,2021/10/6 0:00,13899,18607,23835,24034,12582,939,15431,38652
5,2021/10/4 0:00,14127,16737,23710,24911,12624,918,15387,39411
4,2021/9/29 0:00,14590,13497,23848,23944,12810,830,15520,37163
3,2021/9/27 0:00,14828,12084,24234,21434,12759,853,15735,33797
2,2021/9/22 0:00,14515,13975,23442,26902,12522,971,15258,41721
1,2021/9/20 0:00,14917,11594,24159,21900,12748,858,15698,34354
